seed,policy,budget,loss,ack_loss,delay,ticks,useful_packets,usable_value,possible_value,learners_reached,learners,responses_returned,orphan_packets,expired_or_undelivered,in_flight,pending_acks,processes,data_bytes,ack_bytes,dropped_bytes,duplicate_bytes
1,isoko,1024,0.0,0.0,1,48,5,9.57,47.68,5,12,5,0,31,0,3,False,8200,1242,0,2170
1,fifo,1024,0.0,0.0,1,48,4,5.410000000000001,47.68,2,12,2,2,32,0,2,False,8844,1104,0,3381
1,edf,1024,0.0,0.0,1,48,3,3.468,47.68,2,12,2,2,33,0,2,False,7216,874,0,1639
1,risk,1024,0.0,0.0,1,48,6,9.234,47.68,3,12,3,0,30,0,3,False,8833,1196,0,2277
1,density,1024,0.0,0.0,1,48,7,12.56,47.68,6,12,6,0,29,0,4,False,10569,1564,0,2479
1,no_dependencies,1024,0.0,0.0,1,48,6,10.53,47.68,5,12,5,0,30,0,3,False,9202,1380,0,2170
1,no_fairness,1024,0.0,0.0,1,48,5,9.57,47.68,5,12,5,0,31,0,3,False,8201,1242,0,1921
2,isoko,1024,0.0,0.0,1,48,4,8.8,48.06,4,12,4,0,32,0,2,False,8649,1288,0,2672
2,fifo,1024,0.0,0.0,1,48,5,8.328,48.06,4,12,4,0,31,0,1,False,9213,1242,0,2599
2,edf,1024,0.0,0.0,1,48,4,6.618,48.06,3,12,3,0,32,0,0,False,8174,1104,0,2070
2,risk,1024,0.0,0.0,1,48,5,8.354000000000001,48.06,3,12,3,1,31,0,2,False,9067,1196,0,2030
2,density,1024,0.0,0.0,1,48,5,10.98,48.06,5,12,5,1,31,0,2,False,9566,1426,0,2391
2,no_dependencies,1024,0.0,0.0,1,48,4,8.8,48.06,4,12,4,1,32,0,2,False,9483,1288,0,2114
2,no_fairness,1024,0.0,0.0,1,48,4,8.780000000000001,48.06,4,12,4,0,32,0,1,False,7643,1196,0,2418
3,isoko,1024,0.0,0.0,1,48,6,13.65,48.08,6,12,6,0,30,0,3,False,9813,1518,0,2729
3,fifo,1024,0.0,0.0,1,48,4,7.99,48.08,3,12,3,1,32,0,0,False,8114,1104,0,2231
3,edf,1024,0.0,0.0,1,48,3,5.13,48.08,2,12,2,1,33,0,0,False,6481,828,0,824
3,risk,1024,0.0,0.0,1,48,6,11.154,48.08,4,12,4,0,30,0,2,False,8390,1196,0,1640
3,density,1024,0.0,0.0,1,48,6,13.65,48.08,6,12,6,1,30,0,3,False,10859,1656,0,3226
3,no_dependencies,1024,0.0,0.0,1,48,6,13.65,48.08,6,12,6,1,30,0,3,False,10861,1610,0,2729
3,no_fairness,1024,0.0,0.0,1,48,6,13.65,48.08,6,12,6,0,30,0,3,False,9812,1518,0,2977
4,isoko,1024,0.0,0.0,1,48,4,8.56,45.84,4,12,4,0,32,0,1,False,7638,1196,0,1670
4,fifo,1024,0.0,0.0,1,48,3,3.82,45.84,1,12,1,0,33,0,0,False,6725,736,0,1838
4,edf,1024,0.0,0.0,1,48,2,4.2299999999999995,45.84,2,12,2,3,34,0,0,False,7864,1012,0,834
4,risk,1024,0.0,0.0,1,48,3,5.8,45.84,3,12,3,2,33,0,1,False,8872,1196,0,1764
4,density,1024,0.0,0.0,1,48,6,10.943999999999999,45.84,5,12,5,0,30,0,2,False,9279,1426,0,1919
4,no_dependencies,1024,0.0,0.0,1,48,5,9.324,45.84,4,12,4,0,31,0,1,False,8470,1288,0,1670
4,no_fairness,1024,0.0,0.0,1,48,4,8.49,45.84,4,12,4,0,32,0,1,False,7636,1196,0,1918
5,isoko,1024,0.0,0.0,1,48,5,11.68,52.58,5,12,5,0,31,0,3,False,9030,1334,0,2730
5,fifo,1024,0.0,0.0,1,48,5,7.658,52.58,3,12,3,0,31,0,1,False,7674,1058,0,2030
5,edf,1024,0.0,0.0,1,48,3,5.46,52.58,1,12,1,1,33,0,0,False,6407,690,0,278
5,risk,1024,0.0,0.0,1,48,3,5.334,52.58,2,12,2,1,33,0,0,False,6538,920,0,1192
5,density,1024,0.0,0.0,1,48,5,10.086,52.58,4,12,4,1,31,0,1,False,8147,1288,0,1891
5,no_dependencies,1024,0.0,0.0,1,48,5,11.68,52.58,5,12,5,1,31,0,3,False,9778,1426,0,2730
5,no_fairness,1024,0.0,0.0,1,48,5,11.68,52.58,5,12,5,0,31,0,3,False,9030,1334,0,2730
6,isoko,1024,0.0,0.0,1,48,5,11.34,48.160000000000004,5,12,5,0,31,0,2,False,8168,1288,0,1640
6,fifo,1024,0.0,0.0,1,48,2,2.52,48.160000000000004,1,12,1,2,34,0,0,False,5929,782,0,1357
6,edf,1024,0.0,0.0,1,48,1,1.7699999999999998,48.160000000000004,1,12,1,2,35,0,0,False,5139,736,0,1385
6,risk,1024,0.0,0.0,1,48,5,7.42,48.160000000000004,2,12,2,0,31,0,1,False,6953,966,0,2191
6,density,1024,0.0,0.0,1,48,6,13.44,48.160000000000004,6,12,6,0,30,0,3,False,9254,1426,0,2418
6,no_dependencies,1024,0.0,0.0,1,48,5,11.34,48.160000000000004,5,12,5,0,31,0,2,False,8168,1288,0,1640
6,no_fairness,1024,0.0,0.0,1,48,6,13.44,48.160000000000004,6,12,6,0,30,0,3,False,9254,1426,0,2168
7,isoko,1024,0.0,0.0,1,48,5,8.81,42.0,5,12,5,0,31,0,2,False,9227,1380,0,1950
7,fifo,1024,0.0,0.0,1,48,5,4.378,42.0,2,12,2,0,31,0,0,False,8231,1104,0,2910
7,edf,1024,0.0,0.0,1,48,5,4.556,42.0,2,12,2,1,31,0,1,False,8851,1012,0,836
7,risk,1024,0.0,0.0,1,48,6,6.820000000000001,42.0,2,12,2,0,30,0,1,False,9067,1104,0,2089
7,density,1024,0.0,0.0,1,48,6,10.65,42.0,6,12,6,1,30,0,3,False,10502,1610,0,2728
7,no_dependencies,1024,0.0,0.0,1,48,5,8.81,42.0,5,12,5,1,31,0,2,False,9915,1472,0,1950
7,no_fairness,1024,0.0,0.0,1,48,5,8.88,42.0,5,12,5,0,31,0,2,False,9227,1380,0,2449
8,isoko,1024,0.0,0.0,1,48,6,11.92,45.32,6,12,6,0,30,0,4,False,10068,1518,0,2728
8,fifo,1024,0.0,0.0,1,48,1,1.32,45.32,1,12,1,2,35,0,0,False,7960,736,0,2190
8,edf,1024,0.0,0.0,1,48,1,1.32,45.32,1,12,1,2,35,0,0,False,7418,736,0,528
8,risk,1024,0.0,0.0,1,48,5,8.442,45.32,4,12,4,1,31,0,2,False,9253,1242,0,1363
8,density,1024,0.0,0.0,1,48,6,10.632,45.32,5,12,5,0,30,0,2,False,9867,1564,0,2949
8,no_dependencies,1024,0.0,0.0,1,48,7,12.672,45.32,6,12,6,0,29,0,4,False,10704,1610,0,2728
8,no_fairness,1024,0.0,0.0,1,48,5,9.88,45.32,5,12,5,0,31,0,2,False,9231,1472,0,2699
9,isoko,1024,0.0,0.0,1,48,6,11.49,47.06,6,12,6,0,30,0,4,False,10092,1472,0,3006
9,fifo,1024,0.0,0.0,1,48,3,5.1899999999999995,47.06,3,12,3,3,33,0,1,False,9369,1288,0,3300
9,edf,1024,0.0,0.0,1,48,1,2.05,47.06,1,12,1,2,35,0,0,False,5936,644,0,1362
9,risk,1024,0.0,0.0,1,48,4,6.782,47.06,3,12,3,2,32,0,1,False,8755,1334,0,2462
